Date,Hashpower,Estimated TWh per Year,Energy efficiency,Difficulty,Market Price,Block Reward
2017-05-20,29609.4667,2.338303676,9015.010168,439.714,127.267172,3
2017-05-21,30501.1451,2.331935882,8727.630565,451.327,124.900392,3
2017-05-22,31382.7051,2.406776469,8754.700125,463.103,148.333874,3
2017-05-23,30236.4543,2.479115952,9359.69877,448.717,159.999428,3
2017-05-24,30975.705,2.558065229,9427.277883,458.978,175.471684,3
2017-05-25,31139.2104,2.646792663,9703.048898,457.711,187.826425,3
2017-05-26,31197.0515,2.594668865,9494.329165,456.542,176.35396,3
2017-05-27,32153.7231,2.405446578,8540.048609,473.268,144.838435,3
2017-05-28,31940.9693,2.476709775,8851.623246,469.177,164.135585,3
2017-05-29,34015.7294,2.554141856,8571.584681,487.713,158.999202,3
2017-05-30,36263.7391,2.640266675,8311.341104,513.217,196.869683,3
2017-05-31,35309.9381,2.730854387,8828.714667,519.724,216.577291,3
2017-06-01,37244.2449,2.826686671,8663.919156,561.001,221.219432,3
2017-06-02,36298.9273,2.907777141,9144.568572,574.506,219.461977,3
2017-06-03,37390.2818,2.981139609,9101.636157,575.748,216.890385,3
2017-06-04,38378.7011,3.064259804,9114.46551,597.678,224.549544,3
2017-06-05,39283.0384,3.144804884,9138.702248,599.656,241.675036,3
2017-06-06,39838.9042,3.237369948,9276.429331,615.097,251.874861,3
2017-06-07,41466.1245,3.323433237,9149.332386,632.534,261.79265,3
2017-06-08,41827.9352,3.413413526,9315.761738,640.655,250.930389,3
2017-06-09,41762.2012,3.506484564,9584.830649,639.988,258.637335,3
2017-06-10,43934.269,3.610107044,9380.210156,662.233,284.500258,3
2017-06-11,45025.9063,3.723905339,9441.305776,682.857,336.070318,3
2017-06-12,44971.345,3.797648629,9639.95035,676.331,343.417647,3
2017-06-13,46524.8904,3.727929747,9146.991059,694.617,373.624676,3
2017-06-14,47653.2451,3.72072264,8913.13963,713.189,382.221369,3
2017-06-15,48524.7456,3.703363615,8712.222976,728.25,332.25862,3
2017-06-16,49363.4715,3.599742448,8324.566541,737.125,325.530517,3
2017-06-17,50988.985,3.741162104,8375.795273,761.53,340.834591,3
2017-06-18,51996.5122,3.860209623,8474.860723,769.923,371.631992,3
2017-06-19,52568.3389,3.969327085,8619.628083,775.466,358.41611,3
2017-06-20,53605.3273,4.093115521,8716.496173,847.174,364.690598,3
2017-06-21,54107.974,4.179562149,8817.904858,874.309,348.365734,3
2017-06-22,54738.2538,4.259887252,8883.88769,872.419,312.417589,3
2017-06-23,54340.7602,4.275458639,8981.583123,881.532,324.634294,3
2017-06-24,55696.7824,4.205760974,8620.06169,888.68,324.955093,3
2017-06-25,56394.2575,4.247844107,8598.636321,904.654,295.433814,3
2017-06-26,58414.4698,4.280749215,8365.564275,923.853,283.581248,3
2017-06-27,58319.7387,4.311585014,8439.510894,930.359,253.886743,3
2017-06-28,59928.6376,4.339531991,8266.170968,950.061,272.763187,3
2017-06-29,61553.5382,4.402986825,8165.640538,962.749,311.237618,3
2017-06-30,61650.5709,4.412059266,8169.587503,972.009,288.277201,3
2017-07-01,62556.7775,4.428560714,8081.353943,992.636,265.081169,3
2017-07-02,63113.6089,4.470532744,8085.970633,1002.208,246.574977,3
2017-07-03,64997.08,4.503891803,7910.24612,1012.942,272.3068,3
2017-07-04,66569.3952,4.551541854,7805.12429,1027.254,279.09903,3
2017-07-05,64822.7346,4.603850652,8107.552553,1022.956,267.070981,3
2017-07-06,65978.5137,4.685427549,8106.671832,1037.217,264.97838,3
2017-07-07,67085.5686,4.720315752,8032.261504,1038.186,261.923616,3
2017-07-08,67464.2959,4.751416039,8039.794738,1055.963,237.417595,3
2017-07-09,68072.3545,4.806605585,8060.530177,1071.108,246.154278,3
2017-07-10,69107.6248,4.843731356,8001.105102,1198.735,233.466663,3
2017-07-11,68636.1856,4.859572081,8082.40823,1214.203,190.299095,3
2017-07-12,66929.7884,4.834840314,8246.289484,1185.959,185.848756,3
2017-07-13,67583.3821,4.840132576,8175.479424,1207.945,223.207956,3
2017-07-14,66162.8973,4.833023552,8338.737266,1182.556,197.906611,3
2017-07-15,68590.0251,4.803703789,7994.865312,1207.945,186.126286,3
2017-07-16,70207.4606,4.766715987,7750.538988,1243.782,168.194937,3
2017-07-17,66693.2842,4.749909102,8130.159925,1204.494,165.270026,3
2017-07-18,68408.1739,4.729485189,7892.266943,1213.897,180.626926,3
2017-07-19,71183.4584,4.71051288,7554.139584,1233.999,224.075703,3
2017-07-20,73430.2935,4.703696299,7312.399375,1271.418,211.168405,3
2017-07-21,73178.0557,4.707310941,7343.243238,1304.971,227.759647,3
2017-07-22,72967.3365,4.690474705,7338.109675,1278.26,221.32264,3
2017-07-23,75690.2025,4.676305646,7052.76017,1315.028,231.845107,3
2017-07-24,73612.8357,4.675493445,7250.530744,1302.508,227.009216,3
2017-07-25,77165.6725,4.730304951,6997.789719,1328.375,223.985269,3
2017-07-26,76836.4143,4.744228809,7048.463103,1331.461,198.355377,3
2017-07-27,75616.4916,4.785168591,7223.981313,1321.721,201.962879,3
2017-07-28,77536.4097,4.809768098,7081.322017,1332.368,200.045871,3
2017-07-29,76584.8357,4.830499391,7200.209625,1332.178,200.045871,3
2017-07-30,79028.534,4.853878435,7011.337345,1359.901,202.356029,3
2017-07-31,80870.2609,4.887976881,6899.795082,1426.54,194.967731,3
2017-08-01,80820.0069,4.919774492,6948.998326,1606.73,209.020204,3
2017-08-02,79694.0246,4.889810866,7004.25898,1606.524,226.21304,3
2017-08-03,76659.268,4.838633991,7205.332021,1555.875,218.789061,3
2017-08-04,79754.3216,4.84,6927.667422,1590.668,225.307634,3
2017-08-05,78990.8015,4.852393322,7012.540293,1585.689,226.980461,3
2017-08-06,80020.6258,4.796543686,6842.618932,1598.932,258.638867,3
2017-08-07,82348.3479,4.762762796,6602.371474,1619.968,266.935567,3
2017-08-08,83308.9277,4.754496176,6514.916468,1636.256,272.195838,3
2017-08-09,84931.897,4.731194094,6359.102635,1661.335,315.197193,3
2017-08-10,83442.1715,4.73400001,6476.472871,1650.127,292.309764,3
2017-08-11,84627.2607,4.71080465,6354.490072,1640.151,301.244641,3
2017-08-12,87270.9302,4.69375845,6139.698218,1692.527,312.508364,3
2017-08-13,87653.9263,4.670178915,6082.162767,1690.846,299.769888,3
2017-08-14,89584.3061,4.654739543,5931.429116,1728.855,300.184169,3
2017-08-15,90812.4199,4.700600937,5908.86446,1734.349,291.731738,3
2017-08-16,91289.1473,4.726813895,5910.786148,1713.531,286.240462,3
2017-08-17,92534.9297,4.75,5859.813637,1738.425,300.231413,3
2017-08-18,91777.3051,4.788302893,5955.828826,1745.446,300.26119,3
2017-08-19,95425.5042,4.870241654,5826.15375,1795.854,300.26119,3
2017-08-20,93281.2322,4.907628335,6005.833455,1792.593,300.26119,3
2017-08-21,95741.8313,4.935898541,5885.188636,1785.087,300.26119,3
2017-08-22,95942.1567,4.975164539,5919.620498,1804.398,321.648698,3
2017-08-23,98296.3711,5.007083634,5814.913443,1843.057,323.718591,3
2017-08-24,97228.3329,5.058159453,5938.757206,1828.189,324.079054,3
2017-08-25,95339.2953,5.113268468,6122.412005,2154.673,329.219,3
2017-08-26,95944.7226,5.112862742,6083.295824,2200.006,328.344,3
2017-08-27,95506.9876,5.087907653,6081.349548,2180.133,333.282815,3
2017-08-28,92566.5693,5.061299627,6241.712687,2133.303,345.424365,3
2017-08-29,99235.369,5.031147042,5787.572112,2204.097,349.155544,3
2017-08-30,99678.7102,5.013370788,5741.47278,2231.15,373.224,3
2017-08-31,97955.4642,4.979932314,5803.50906,2215.537,380.711,3
2017-09-01,98985.3654,4.958155193,5718.011435,2233.569,393.598029,3
2017-09-02,98883.0465,4.933731895,5695.732721,2231.26,380.195042,3
2017-09-03,98450.1542,4.894696514,5675.514826,2250.289,351.142,3
2017-09-04,99991.3961,4.859700449,5548.080604,2243.963,340.967,3
2017-09-05,100474.3339,4.822876904,5479.575757,2231.041,278.695779,3
2017-09-06,99614.2702,4.780234108,5478.018601,2232.6,325.847,3
2017-09-07,101735.9047,4.731589532,5309.195342,2253.842,327.608852,3
2017-09-08,106728.0408,4.753140801,5083.912136,2351.174,330.423336,3
2017-09-09,104087.0767,4.766265094,5227.298201,2321.405,298.551691,3
2017-09-10,102462.2609,4.785301022,5331.399436,2289.896,285.779,3
2017-09-11,102521.0502,4.821213995,5368.330634,2312.746,307.004387,3
2017-09-12,108070.1938,4.847920237,5120.889791,2375.29,303.14889,3
2017-09-13,103537.1178,4.88372815,5384.573429,2324.138,275.953343,3
2017-09-14,105590.7742,4.895908541,5293.016111,2321.976,269.499271,3
2017-09-15,109240.2979,4.914029442,5135.122074,2366.097,234.476,3
2017-09-16,107169.6341,4.939625356,5261.603978,2350.116,261.416097,3
2017-09-17,108004.7306,4.958438618,5240.805681,2390.881,250.673679,3
2017-09-18,105851.5969,4.98333534,5374.259,2351.653,275.071,3
2017-09-19,108650.3899,5.014094874,5268.138109,2380.774,289.487554,3
2017-09-20,107391.0713,5.038793163,5356.168739,2380.957,281.741,3
2017-09-21,109411.54,5.050993609,5269.987462,2405.383,280.857901,3
2017-09-22,108415.5019,5.076871282,5345.651738,2938.237,265.706093,3
2017-09-23,103936.501,5.070586932,5569.113055,2960.802,262.581067,3
2017-09-24,106744.3503,5.010829315,5358.714323,2945.612,294.103129,3
2017-09-25,101530.2447,4.949051345,5564.452256,2912.421,286.041,3
2017-09-26,102987.1868,4.892563486,5423.119427,2887.116,293.588732,3
2017-09-27,105672.8117,4.825291582,5212.62152,2916.043,289.988,3
2017-09-28,101865.3038,4.771811615,5347.525929,2896.072,308.083549,3
2017-09-29,97747.1226,4.7071922,5497.355763,2802.971,280.586093,3
2017-09-30,97246.8496,4.64124847,5448.226723,2773.895,295.748,3
2017-10-01,101856.5841,4.573287796,5125.489152,2865.649,299.745244,3
2017-10-02,101498.7153,4.500030942,5061.169108,2861.171,300.724,3
2017-10-03,101330.3025,4.431361601,4992.220333,2838.826,300.062,3
2017-10-04,104322.349,4.35316785,4763.47565,2896.353,292.847181,3
2017-10-05,107720.1602,4.28903336,4545.255776,2968.747,289.300806,3
2017-10-06,102813.1953,4.262728543,4732.980489,2912.479,295.510772,3
2017-10-07,100704.8489,4.27600234,4847.116364,2857.438,309.599509,3
2017-10-08,104067.9114,4.283129579,4698.294856,2915.521,311.17,3
2017-10-09,104686.6792,4.293989093,4682.366535,2930.956,305.448397,3
2017-10-10,106119.6349,4.3216071,4648.848861,2913.485,297.253365,3
2017-10-11,109279.7021,4.323231099,4516.113444,2997.386,301.203155,3
2017-10-12,105449.0222,4.345141634,4703.891265,2911.728,307.345873,3
2017-10-13,110049.5848,4.363375688,4526.161988,3031.012,301.993368,3
2017-10-14,105135.748,4.387798417,4764.223775,2917.998,340.097,3
2017-10-15,108556.0976,4.41267548,4640.274372,2962.491,337.745026,3
2017-10-16,112491.5255,4.428373309,4493.868005,1922.324,333.52,3
2017-10-17,114496.653,4.539229036,4525.694132,1430.794,328.230574,3
2017-10-18,113792.9401,4.925077132,4940.758332,1412.602,307.068,3
2017-10-19,117973.6768,5.326147452,5153.757317,1460.305,312.490756,3
2017-10-20,117268.4555,5.747775742,5595.185683,1448.048,307.136835,3
2017-10-21,116687.3756,6.181089808,6046.959714,1470.935,301.047,3
2017-10-22,118870.2012,6.581258149,6320.214564,1479.883,303.938,3
2017-10-23,117763.0093,7.003932795,6789.362058,1455.82,293.715,3
2017-10-24,121642.1225,7.41899239,6962.365685,1496.921,301.668,3
2017-10-25,118684.8641,7.830029867,7531.196439,1484.205,293.334,3
2017-10-26,114761.8238,8.24564261,8202.060335,1437.018,298.362,3
2017-10-27,117091.7153,8.626154239,8409.824735,1447.521,297.538,3
2017-10-28,118629.8189,9.076256775,8733.91177,1468.426,295.573,3
2017-10-29,117105.7539,9.196264139,8964.562435,1459.599,298.196,3
2017-10-30,115204.0015,9.256343396,9172.079019,1447.379,307.502,3
2017-10-31,119297.9707,9.335183131,8932.760285,1462.242,308.991,3
2017-11-01,120477.0125,9.376460489,8884.451728,1505.309,304.109,3
2017-11-02,115774.5028,9.420172072,9288.419148,1441.55,288.606,3
2017-11-03,113706.9239,9.437499436,9474.709906,1419.283,288.383,3
2017-11-04,111929.8264,9.50570088,9694.696277,1405.222,297.047,3
2017-11-05,117028.67,9.55304828,9318.491149,1439.533,300.013,3
2017-11-06,114621.414,9.603916527,9564.857602,1433.805,293.717,3
2017-11-07,113925.2212,9.627722556,9647.162189,1412.215,300.794,3
2017-11-08,116144.1465,9.68362066,9517.794755,1454.538,297.076,3
2017-11-09,114107.822,9.763040104,9767.098131,1420.593,311.094,3
2017-11-10,115773.7593,9.787091113,9650.26834,1429.592,320.091,3
2017-11-11,115718.414,9.758460411,9626.639879,1437.744,303.473,3
2017-11-12,118263.4894,9.885068052,9541.680461,1487.331,310.175,3
2017-11-13,117469.6839,9.968796755,9687.52498,1456.779,313.839,3
2017-11-14,114709.874,9.99448332,9946.159939,1448.755,320.717,3
2017-11-15,115382.9053,10.05480204,9947.820685,1424.358,336.541,3
2017-11-16,111657.6225,10.12502153,10351.50444,1397.135,329.881,3
2017-11-17,112630.8165,10.1757538,10313.48051,1403.216,331.429,3
2017-11-18,111516.8425,10.24880791,10491.28737,1389.738,330.418,3
2017-11-19,112980.6417,10.26064465,10367.32001,1402.317,348.659,3
2017-11-20,120188.5528,10.3342632,9815.497262,1489.214,357.437,3
2017-11-21,118772.9291,10.3976165,9993.375863,1471.463,353.267,3
2017-11-22,118382.3196,10.41712191,10045.15853,1462.848,363.873,3
2017-11-23,122161.9842,10.47289052,9786.476991,1518.894,380.117,3
2017-11-24,124844.7158,10.58325548,9677.095097,1549.351,412.698,3
2017-11-25,125309.3717,10.58589521,9643.616514,1562.073,468.032,3
2017-11-26,125187.293,10.6449514,9706.872569,1553.38,458.239,3
2017-11-27,123438.9985,10.72905978,9922.135861,1537.205,485.869,3
2017-11-28,121376.5047,10.79505542,10152.8073,1508.043,481.476,3
2017-11-29,123404.9935,10.8508926,10037.57089,1520.78,487.591,3
2017-11-30,124830.2891,10.88971891,9958.469263,1542.746,461.168,3
2017-12-01,125492.702,10.960318,9970.124429,1546.95,442.01,3
2017-12-02,125605.2762,11.02026887,10015.67449,1570.293,462.452,3
2017-12-03,121828.5383,11.04700306,10351.21513,1509.751,465.248,3
2017-12-04,125869.5928,11.07472688,10044.03208,1530.846,468.909,3
2017-12-05,123432.1491,11.0948165,10260.95368,1477.492,466.939,3
2017-12-06,123628.5175,11.0649785,10217.10383,1468.45,451.526,3
2017-12-07,125209.8857,11.0588532,10082.47997,1480.719,438.609,3
2017-12-08,127322.6374,11.08661474,9940.064986,1552.89,430.981,3
2017-12-09,128300.9697,11.03072534,9814.541733,1553.202,472.516,3
2017-12-10,126733.7869,11.10066128,9998.902481,1549.427,436.93,3
2017-12-11,128336.6496,11.0722814,9848.777164,1575.712,460.265,3
2017-12-12,128931.8969,11.14006927,9863.326576,1556.261,533.388,3
2017-12-13,134096.1365,11.17604334,9514.099866,1612.737,613.891,3
2017-12-16,141945.8652,11.71296608,9419.764236,1740.332,701.215,3
2017-12-17,142954.4584,11.71296608,9353.304538,1754.69,725.283,3
2017-12-18,147283.4924,11.72615581,9088.610269,1783.753,715.512,3
2017-12-19,144785.8066,11.65698144,9190.856998,1736.465,826.545,3
2017-12-20,143787.1073,11.3498309,9010.841244,1716.149,803.122,3
2017-12-21,143918.9673,11.05977362,8772.514553,1741.54,869.818,3
2017-12-22,143237.655,10.89014858,8679.056119,1725.803,729.609,3
2017-12-23,149570.4924,10.54625979,8049.120623,1792.357,729.407,3
2017-12-24,148933.7151,10.20532814,7822.216723,1822.645,677.993,3
2017-12-25,150660.6855,9.877678088,7484.293723,1853.229,750.11,3
2017-12-26,151469.2196,9.646253444,7269.929081,1865.831,771.967,3
2017-12-27,152530.5011,9.467532494,7085.589713,1864.022,783.7,3
2017-12-28,156618.8488,9.491567634,6918.147434,1916.424,739.085,3
2017-12-29,153605.9851,9.47857518,7044.186002,1870.551,754.482,3
2017-12-30,154787.985,9.505283961,7010.092403,1874.64,705.097,3
2017-12-31,156919.1805,9.556106503,6951.857219,1919.555,719.827,3
2018-01-01,159441.8475,9.611465474,6881.501138,1935.072,761.079,3
2018-01-02,159057.5377,9.699422627,6961.254662,1924.73,865.012,3
2018-01-03,158805.4552,9.770132925,7023.133911,1904.343,884.858,3
2018-01-04,162473.4175,9.847217634,6918.741658,1895.45,947.321,3
2018-01-05,166391.1687,9.948720598,6825.474617,1933.064,1038.38,3
2018-01-06,163074.7937,10.03023899,7021.34539,1899.132,1012.87,3
2018-01-07,169010.8826,10.14506703,6852.296473,1950.647,1086.05,3
2018-01-08,168775.8944,10.26512523,6943.040964,2005.81,1261.41,3
2018-01-09,170785.6861,10.3951382,6948.238105,2009.517,1219.73,3
2018-01-10,174332.6871,10.5325654,6896.857201,2005.905,1405.21,3
2018-01-11,179701.776,10.65754637,6770.188417,2075.422,1149.06,3
2018-01-12,180394.1239,10.66417223,6748.397524,2099.697,1205.84,3
2018-01-13,181051.4051,10.93421608,6894.164571,2140.802,1299.95,3
2018-01-14,185408.671,11.09869138,6833.412348,2169.168,1358.78,3
2018-01-15,181636.7811,11.23554505,7061.32568,2189.372,1345.07,3
2018-01-16,187122.9824,11.34572222,6921.510938,2201.747,1244.83,3
2018-01-17,191023.8179,11.44056317,6836.845668,2257.174,987.103,3
2018-01-18,189281.4868,11.54657811,6963.716031,2275.486,1004.16,3
2018-01-19,188933.6732,11.65224938,7040.383177,2268.78,1025.69,3
2018-01-20,196739.0047,11.76852026,6828.530966,2363.823,1076.94,3
2018-01-21,192489.0949,11.9040206,7059.654272,2372.815,1126.83,3
2018-01-22,197018.312,12.00701018,6957.034849,2395.157,1069.17,3
2018-01-23,196608.2455,12.10394785,7027.829393,2399.287,996.166,3
2018-01-24,201694.5298,12.20754205,6909.235614,2459.967,970.868,3
2018-01-25,203394.4979,12.31499043,6911.793779,2507.603,1088.43,3
2018-01-26,203454.7751,12.42006144,6968.699713,2500.853,1066.74,3
2018-01-27,202106.5578,12.53038947,7077.502939,2485.341,1057.04,3
2018-01-28,204748.658,12.6830719,7071.300355,2500.394,1147.66,3
2018-01-29,213099.1585,12.78677348,6849.756462,2591.382,1222.23,3
2018-01-30,210494.5728,12.91522121,7004.172607,2596.25,1160.35,3
2018-01-31,215826.4032,13.02664356,6890.073434,2626.765,1066.72,3
2018-02-01,221004.0257,13.13356865,6783.884696,2666.119,1143.47,3
2018-02-02,224386.69,13.22200823,6726.609631,2711.47,956.065,3
2018-02-03,223750.0072,13.31125669,6791.284029,2765.665,881.151,3
2018-02-04,223628.198,13.43115638,6856.188278,2759.422,952.92,3
2018-02-05,229317.1819,13.5010371,6720.884445,2786.247,834.563,3
2018-02-06,226643.546,13.56581403,6832.795087,2787.077,597.362,3
2018-02-07,232001.6424,13.64226965,6712.610747,2837.218,748.825,3
2018-02-08,229493.3998,13.62416041,6776.968116,2821.72,819.749,3
2018-02-09,232843.1343,13.61035062,6672.702624,2877.238,806.536,3
2018-02-10,234466.2002,13.59750825,6620.258988,2834.459,899.807,3
2018-02-11,236401.4541,13.58115139,6558.165023,2950.749,818.451,3
2018-02-12,241154.4129,13.56870216,6423.015794,2943.733,847.771,3
2018-02-13,242643.0985,13.6462459,6420.090402,2971.561,852.951,3
2018-02-14,236293.682,13.72949145,6632.820358,2952.817,852.05,3
2018-02-15,238380.589,13.81674422,6616.536661,2892.302,937.988,3
2018-02-16,243106.1504,13.93565094,6543.757656,2991.223,931.282,3
2018-02-17,243542.0698,14.02664845,6574.698071,2973.719,966.12,3
2018-02-18,243539.0262,14.11366249,6615.566758,3003.822,958.569,3
2018-02-19,242911.4767,14.20182899,6674.091225,2976.958,933.128,3
2018-02-20,239653.9119,14.28801547,6805.864262,2932.875,953.288,3
2018-02-21,241642.47,14.39921722,6802.389737,2911.436,884.42,3
2018-02-22,243671.4308,14.47395431,6780.761634,2981.197,860.26,3
2018-02-23,245866.6703,14.55233331,6756.610246,2967.712,846.845,3
2018-02-24,244536.0463,14.62870741,6829.029068,2974.925,875.513,3
2018-02-25,250331.8931,14.70526685,6705.831245,3096.446,844.86,3
2018-02-26,247528.6317,14.7841738,6818.16508,3030.533,856.866,3
2018-02-27,243300.4607,14.89911579,6990.583988,2978.767,876.038,3
2018-02-28,252048.8658,14.97880127,6784.036958,3052.568,888.402,3
2018-03-01,253200.9448,15.05847528,6789.090099,3103.058,860.857,3
2018-03-02,255012.3761,15.13726096,6776.133194,3077.244,873.699,3
2018-03-03,260398.6003,15.21589607,6670.4446,3190.815,864.679,3
2018-03-04,253539.203,15.29398377,6886.069442,3140.164,848.463,3
2018-03-05,254483.1024,15.40724698,6911.335691,3135.226,868.916,3
2018-03-06,255139.4372,15.48223834,6927.109448,3118.411,847.965,3
2018-03-07,263414.6349,15.55066227,6739.14628,3194.249,813.011,3
2018-03-08,262514.1983,15.61451283,6790.02753,3237.862,744.534,3
2018-03-09,256561.6774,15.67438727,6974.20454,3155.884,664.342,3
2018-03-10,259056.4904,15.73648994,6934.406308,3166.735,738.324,3
2018-03-11,257997.7068,15.83416341,7006.081268,3148.891,685.044,3
2018-03-12,259747.3582,15.89590386,6986.022533,3190.981,716.613,3
2018-03-13,259172.212,15.95595502,7027.975872,3176.689,695.532,3
2018-03-14,256444.9328,16.01024739,7126.88604,3135.698,701.269,3
2018-03-15,259568.9864,16.06034276,7063.141428,3160.925,591.096,3
2018-03-16,268730.4354,16.11116912,6843.938441,3273.412,600.368,3
2018-03-17,266964.9124,16.19497763,6925.03641,3261.562,597.817,3
2018-03-18,264836.0208,16.23536689,6998.112942,3265.568,521.624,3
2018-03-19,265871.0509,16.27876968,6989.505006,3287.244,530.252,3
2018-03-20,267110.5194,16.32279339,6975.886172,3281.437,555.856,3
2018-03-21,263506.8368,16.36772862,7090.754054,3261.279,564.488,3
2018-03-22,263150.0403,16.41278838,7119.915229,3225.445,572.542,3
2018-03-23,264344.1817,16.492128,7122.014192,3284.345,517.185,3
2018-03-24,262566.4697,16.53311599,7188.054172,3218.749,541.707,3
2018-03-25,263810.3782,16.57638878,7172.886211,3264.568,521.724,3
2018-03-26,270957.8644,16.61477511,6999.847853,3333.441,523.52,3
2018-03-27,264771.4928,16.64925872,7178.2664,3274.586,463.19,3
2018-03-28,264397.7036,16.68308311,7203.018469,3258.303,450.538,3
2018-03-29,259874.6018,16.75019284,7357.865898,3183.492,443.373,3
2018-03-30,262829.8108,16.77761937,7287.047641,3211.951,378.868,3
2018-03-31,259223.1258,16.80598436,7400.926747,3189.076,411.018,3
2018-04-01,259619.4056,16.83222045,7401.166135,3239.618,396.412,3
2018-04-02,259753.6379,16.85917579,7409.187651,3197.879,383.916,3
2018-04-03,253904.2585,16.88818598,7592.921534,3130.326,391.748,3
2018-04-04,256180.9285,16.95372201,7554.646652,3176.982,405.765,3
2018-04-05,257751.3129,16.98004183,7520.275717,3151.226,373.281,3
